id_inconsistent,type_inconsistent,status,created_at,updated_at
1,Duplicates,1,2025-02-27,2025-02-27
2,NULL values,1,2025-02-27,2025-02-27
3,Repeat offender without dates,1,2025-02-27,2025-02-27
4,No repeat offender with dates,1,2025-02-27,2025-02-27
5,Without reference entity,1,2025-02-27,2025-02-27
6,N/A,1,2025-02-27,2025-02-27
7,Max character limit,1,2025-02-27,2025-02-27
8,Dont match with batch file,1,2025-02-27,2025-02-27
9,Batch file insufficient info,1,2025-02-27,2025-02-27
10,Not present in actives customer table,1,2025-02-27,2025-02-27
11,Reference entity inconsistent,1,2025-02-27,2025-02-27
